layer_types,ratio,k,k error,kx,kx error,ky,ky error,kz,kz error
[1 1 2 1 1 2 1 1 1 2],0.30000000000000004,0.1629462116892803,0.007080227445193591,0.1742512258436931,0.007091692416313708,0.10703540322946122,0.0064673828709686555,0.2075520059946871,0.01750237437315158
[2 1 1 1 1 2 1 1 1 2],0.30000000000000004,0.1774038575209586,0.005464760427953019,0.1925905537468688,0.009308566994011115,0.10285457008861273,0.005496642780784675,0.23676644872739408,0.02115864926353196
[1 1 2 2 1 1 2 1 1 1],0.30000000000000004,0.15175774433996378,0.006229009830429159,0.17940470984934623,0.014678337529847449,0.08053573973622243,0.008830329664282675,0.1953327834343226,0.006611447429031787
[2 1 1 1 1 1 1 1 2 2],0.30000000000000004,0.2122273938920019,0.00910407254287986,0.2524192161777169,0.01209219515268534,0.1356783586495498,0.005370311982769584,0.2485846068487386,0.01890728427347204
[2 1 1 2 1 1 1 1 1 2],0.30000000000000004,0.15861547003222928,0.0050481547872185195,0.1767584915377182,0.007194888556244905,0.08912367630824589,0.008310730758697272,0.2099642422507239,0.016740132561781765
[2 1 2 1 1 1 2 1 1 1],0.30000000000000004,0.16463731521599528,0.0049493998613466305,0.20697417914002827,0.011613446540025003,0.10125246771631755,0.0072011534520789715,0.1856852987916398,0.009666069763668093
[1 1 2 1 1 2 1 1 1 2],0.30000000000000004,0.16329567810389659,0.004976038837036306,0.1801287659410301,0.014204821812966409,0.10128475683118188,0.009913207113440506,0.20847351153947727,0.009809381011771211
[1 1 2 2 1 1 1 1 1 2],0.30000000000000004,0.1759010857693739,0.008015887128861502,0.22436507573207978,0.01681401260048606,0.1047227898513435,0.007190846155165973,0.19861539172469828,0.009870054557754191
[1 1 2 1 1 2 1 2 1 1],0.30000000000000004,0.1784788972670504,0.006405065030196367,0.2400007621357015,0.01295252982172961,0.08838779241370849,0.006681889767825836,0.2070481372517409,0.01420522168640121
[1 2 2 1 2 1 1 1 1 1],0.30000000000000004,0.1907448988064649,0.006692551563284038,0.2251714781809472,0.012733238707004024,0.10894996161050938,0.01043104995939483,0.23811325662793884,0.011592802824250643
[2 1 1 1 2 1 2 1 1 2],0.4,0.1555101314415698,0.005585482911708029,0.1808804874341245,0.010537121051742872,0.08528344756329292,0.00546741881917388,0.20036645932729194,0.014126816409485512
[1 2 1 2 2 1 1 2 1 1],0.4,0.1574037336978224,0.005521785539427604,0.1838016066333053,0.01620208046955594,0.1017750919481029,0.007984156689117398,0.18663450251205882,0.015987849132589604
[1 1 2 1 1 2 2 1 1 2],0.4,0.14606753795116725,0.008560691813007466,0.1807459370838582,0.008620655032543306,0.08452456849409326,0.005264467653040565,0.17293210827555014,0.018640543361010516
[1 1 1 2 1 1 2 2 2 1],0.4,0.1616653453644532,0.008265169735404249,0.20170140988012492,0.012442616802139718,0.08901299785719412,0.008086153497914386,0.19428162835604063,0.01626666090213493
[2 1 2 2 1 1 2 1 1 1],0.4,0.1671766440785387,0.007722107022481114,0.22563950254372092,0.013906241096254657,0.09515543300431749,0.005883409294201865,0.1807349966875777,0.011815495554271747
[2 1 2 2 2 1 1 1 1 1],0.4,0.1705187808531174,0.008714579195608743,0.1897805019917842,0.01576576481247205,0.11694844022350692,0.006432810930545986,0.20482740034406088,0.01681452069977431
[1 1 1 2 2 1 1 2 1 2],0.4,0.13630277843841598,0.004041659593379209,0.16789054580851132,0.009712315502552738,0.07229846773054845,0.0050924120251267585,0.16871932177618812,0.010785508315040285
[1 1 1 1 2 1 2 2 1 2],0.4,0.1638504579451659,0.007079460793194373,0.19234801331328222,0.011212695553089305,0.1092122533712544,0.009754101989063284,0.18999110715096082,0.01796069281003954
[1 2 2 2 1 1 1 1 2 1],0.4,0.15407757467614527,0.006321109416357533,0.1948945797151436,0.012055532843593121,0.09765811066405931,0.006638342285934482,0.1696800336492334,0.007600854706148623
[2 1 1 1 1 2 2 1 1 2],0.4,0.15816011235159308,0.005171007013695284,0.19968484763842487,0.008472515374495598,0.08789509869942844,0.00419401702216311,0.18690039071692582,0.012337913326539031
[1 1 2 1 2 1 1 2 2 2],0.5,0.15417842317707459,0.007526316981051286,0.19793142508984513,0.00951761360101989,0.07615047577440769,0.006765114028237284,0.1884533686669715,0.011483852448929384
[2 1 1 1 2 2 2 1 1 2],0.5,0.1455324422949113,0.007932468220272321,0.1710968279651429,0.009526203680345728,0.09039433929363853,0.00623382913015756,0.1751061596259525,0.01186563673324781
[2 2 1 2 1 1 1 1 2 2],0.5,0.1684054604682593,0.007510710351266571,0.18527891303173868,0.014297204458626624,0.11470485574004322,0.006336762460052442,0.20523261263299641,0.011391545880347397
[1 1 1 1 1 2 2 2 2 2],0.5,0.1772307567633589,0.006979122235282889,0.1923679122550574,0.014928705858794697,0.14150604002228442,0.010408317757107504,0.1978183180127347,0.008641233232883993
[1 1 2 2 2 1 2 2 1 1],0.5,0.15625774003948192,0.008172591204605546,0.18971268343193687,0.013531337548455544,0.09299874165350543,0.008607216158105009,0.1860617950330034,0.011817604603791042
[2 2 2 1 1 1 1 2 2 1],0.5,0.15461389531821457,0.007416968895670802,0.16518957262916023,0.020471032002219013,0.11248317868521127,0.005238306316561144,0.18616893464027232,0.011679769611415466
[1 2 1 1 2 2 2 1 2 1],0.5,0.14668364276121781,0.008239230996729054,0.17426487504534552,0.01103239477634815,0.09158788254290494,0.007786997242539039,0.17419817069540308,0.02057145956355134
[1 2 1 2 1 1 2 2 2 1],0.5,0.14576915140368288,0.006485042388032714,0.18414346547304808,0.011133896757520365,0.07186226453134176,0.006720567326899447,0.1813017242066589,0.01690379453694152
[1 2 2 1 1 1 1 2 2 2],0.5,0.1731522074712065,0.008821319922448782,0.20743220943958968,0.011452667858349875,0.11142104772055365,0.007335566034870231,0.20060336525347622,0.01565623894954381
[2 2 1 1 1 2 1 1 2 2],0.5,0.1535729247074874,0.004473045506162141,0.1798730861631251,0.014899403127154782,0.09994502339955472,0.0068493165408207435,0.1809006645597822,0.012691211402754185
[2 2 2 1 1 2 2 1 1 2],0.6,0.13922792107412899,0.005522566611450209,0.16860244494107052,0.010893597434775634,0.10796686472492505,0.004606752245822973,0.14111445355639168,0.011675051211266066
[1 1 1 2 2 2 2 1 2 2],0.6,0.1524395353246697,0.007160323870802089,0.1736339961620853,0.012619122267382344,0.11381037377841338,0.011705688791655254,0.1698742360335107,0.01301523708009117
[2 2 2 2 2 2 1 1 1 1],0.6,0.1773122677997764,0.003891029197294638,0.1891099573315969,0.013554133111469063,0.14272486225775172,0.011548611688693608,0.2001019838099809,0.015409562664959487
